0:0	after the signing ceremony , president akaev and premier li peng answered the questions from reporters respectively .	N/A	after the signing ceremonym president akaev and premier li peng answered questions of reporters .	N/A	1	1	2-2 3-3 6-5 13-11 17-14 5-4 10-9 7-6 11-10 0-0 9-8 14-12 8-7 1-1 15-13 12-11			88
4:4	clinton planned to increase by 30 % the funds for the research of aids in the national public health institute .	N/A	clinton plans to increase aids research funds for the national institute of health by 30 % .	N/A	1	1	5-14 15-8 18-12 2-2 3-3 11-5 6-15 4-13 10-5 7-6 8-6 19-10 1-1 13-4 20-16 0-0 16-9 14-7			89
6:6	chinese enterprises have become the biggest outside investors in macao .	N/A	china enterprises become the biggest investor in macao .	N/A	1	1	10-8 2-2 5-4 4-3 3-2 8-6 1-1 7-5 9-7 0-0			85
9:9	"also , neither the german government nor the irish government has paid any ransom . """	N/A	"neither the german nor irish governments paid any ransom . """	N/A	1	1	7-4 8-4 13-8 2-0 6-3 9-5 10-6 4-2 11-6 14-9 15-10 5-5 3-1 12-7			83
30:30	china imported 14.447 billion american dollars of automobile products in the year 2003 , an increase of 84 percent on an annual basis , setting a record .	N/A	china imported 14.447 billion american dollars of car products in 2003 , an annual increase of 84 % , representing a record .	N/A	1	1	20-13 6-6 26-21 5-5 27-22 0-0 2-2 10-10 16-15 14-12 17-16 15-14 9-9 3-3 13-11 23-18 24-19 18-17 1-1 4-4 12-10 7-7 19-13 8-8 11-10 21-13 22-13 25-20			81
44:44	at the same time an earthquake registering 4.5 on the richter scale hit the town of jasaran in the province of buir ahmad on the same day , according to iranian radio .	N/A	at the same time an earthquake of force 4.5 shook jasaran in boyer ahmad province the same day , according to iranian radio .	N/A	1	1	28-19 30-21 19-14 14-10 7-8 5-5 31-22 0-0 25-16 2-2 16-10 18-14 17-11 12-9 27-18 3-3 15-10 1-1 4-4 13-10 22-13 21-12 26-17 29-20 32-23 24-15 11-7 6-6 8-7 10-7 9-7			77
52:52	according to marchi , human rights and social justice should be made important contents in canada 's foreign trade policy .	N/A	human rights and social justice should become an important part of canadian foreign policy .	N/A	1	1	7-3 13-9 6-2 19-13 4-0 8-4 14-10 10-6 9-5 11-6 15-11 20-14 17-12 16-11 12-8 5-1			78
53:53	... and there is no distinguishing between religion and politics .	N/A	.. and do not distinguish between religion and politics	N/A	1	1	6-5 5-4 7-6 3-2 8-7 1-1 4-3 0-0 9-8			88
54:54	this subsidiary committee of the arab league will raise its resolution to the meeting of the atomic energy agency next september in vienna .	N/A	this arab league committee will submit its report to a meeting of the atomic agency next september in vienna .	N/A	1	1	9-6 11-8 6-2 0-0 15-12 14-11 19-15 18-14 21-17 12-9 7-4 4-1 2-3 13-10 16-13 23-19 8-5 20-16 5-1 22-18 10-7			84
58:58	it should be noted that the reservoir was built in the year 1957 with a storage capacity of 30 million cubic meters .	N/A	the reservoir was built in 1957 with a storage capacity of 30 million cubic meters .	N/A	1	1	15-8 21-14 12-5 11-5 8-3 20-13 22-15 10-5 6-1 7-2 5-0 18-11 17-10 14-7 19-12 13-6 9-4 16-9			83
61:61	it is the poor countries , however , that suffer most of all from water problems , which become aggravated under the pressures of population growth .	N/A	but the poorest countries suffer the most from water problems , which are compounded by the pressure of population growth .	N/A	1	1	25-19 20-14 14-8 26-20 11-5 24-18 16-10 6-0 11-6 17-11 12-6 3-2 18-12 10-5 2-1 4-3 9-4 12-5 19-13 13-7 21-15 10-6 15-9 22-16 23-17			80
67:67	due to danish government 's unfriendly policy towards immigrants , the number of foreigners taking refugees in denmark has fallen from 14,347 in 1993 to 3,500 in 2003 .	N/A	the unfriendly attitude of danish government towards immigrants has reduced the number of refugees from 14,347 in 1993 to 3,500 in 2003 .	N/A	1	1	12-12 25-19 2-4 20-14 11-11 8-7 26-20 19-9 24-18 10-10 28-22 15-13 7-6 4-3 3-5 18-8 21-15 22-16 23-17 27-21 5-1 6-2 4-0			81
68:68	"the state department spokesman boucher said : "" we are not willing to pay again for the agreements that have been reached already . """	N/A	"state department spokesman richard boucher said , "" we wo n't pay for the already reached agreements again . """	N/A	1	1	6-6 9-10 10-9 22-14 1-0 5-5 15-12 10-10 3-2 11-9 17-16 12-9 9-9 13-11 23-18 24-19 2-1 4-3 4-4 12-10 7-7 16-13 8-8 21-15 11-10 14-17 0-0			82
70:70	""" we do n't have medicines to treat convulsions ; we do n't even have valium or anything else for that matter . """	N/A	""" we no longer have medicines for convulsions , nor do we have valium or anything else "" ."	N/A	1	1	6-6 8-7 5-5 0-0 2-2 14-12 3-2 18-16 12-9 15-13 3-3 7-6 2-3 1-1 4-4 16-14 17-15 10-11 11-10 23-17 9-8 22-18			82
71:71	summer in the us this year proved to be one of the hottest summers in history .	N/A	the summer in us this year is one of the hottest in history .	N/A	1	1	10-8 15-12 16-13 3-3 0-1 14-11 6-6 1-2 7-6 0-0 2-3 5-5 8-6 9-7 11-9 4-4 12-10			82
72:72	now it 's 15 months since hong kong returned to chinese jurisdiction , the hong kong government has been trying to remind the residents that they are chinese .	N/A	since the reversion 15 months ago , hong kong government has been trying to remind residents that they are chinese .	N/A	1	1	20-13 5-0 26-18 25-17 12-6 17-10 19-12 16-9 15-8 21-14 3-3 24-16 18-11 4-4 22-15 27-19 14-7 28-20 23-15 9-1 8-2 10-2 11-1 10-1 7-2 8-1 6-2 9-2 11-2 7-1 6-1			77
74:74	blair had talks in jeddah with saudi officials concerning the peace process and called for a greater role to be played by the european union in this process .	N/A	blair discussed the peace process with saudi officials in jeddah and called for a greater role of the european union .	N/A	1	1	22-17 10-3 6-6 5-5 0-0 3-8 14-12 4-9 15-13 13-11 23-18 24-19 2-1 1-1 16-14 12-10 7-7 17-15 11-4 21-16 28-20 9-2			78
85:85	"in the presence of the resident diplomatic corps of the united arab emirates , baker added , "" we were very shy and paralyzed . """	N/A	"baker admitted in the presence of the diplomats in the emirates "" we were shy and paralysed . """	N/A	1	1	25-18 2-4 20-14 24-17 0-2 1-3 10-10 17-11 9-9 18-12 21-14 14-0 3-5 12-10 7-7 15-1 4-6 19-13 8-8 23-16 22-15 6-7 11-10			78
88:88	from january to july last year , china imported a total amount of 316 million u.s. dollars worth of meat products from the united states .	N/A	from january to july last year , china imported 316 million usd worth of meat from the usa .	N/A	1	1	19-14 25-18 14-10 6-6 20-14 16-11 5-5 0-0 13-9 24-17 2-2 15-11 17-12 18-13 3-3 1-1 4-4 7-7 8-8 21-15 22-16 23-17			77
90:90	it should be noted that egypt is undertaking mediation efforts in an attempt to resume the palestinian / israeli negotiations .	N/A	egypt is making mediation efforts in an attempt to restart palestinian / israeli negotiations .	N/A	1	1	18-12 19-13 16-10 8-3 13-8 10-5 11-6 14-9 17-11 20-14 7-2 5-0 15-10 12-7 9-4 6-1			79
97:97	the u.s. economy grew only 3.3 % in the third quarter , which is lower than the 5.5 % growth in the first quarter .	N/A	u.s. third quarter growth is 3.3 % , which is lower than the 5.5 % recorded in first quarter .	N/A	1	1	22-17 14-10 6-6 5-5 1-0 0-0 13-9 11-7 9-1 18-14 15-11 21-17 17-13 10-2 3-3 23-18 24-19 16-12 12-8 20-16 19-15 8-1			79
107:107	"the foreign ministers held a tripartite meeting during the "" contributions of new democracies to euro-atlantic security "" summit hosted by president peter stoyanov ."	N/A	the three foreign ministers met during the summit on the contribution of new democracies to euro-atlantic security .	N/A	1	1	24-17 12-12 6-4 1-2 10-9 10-10 18-7 16-16 11-11 15-15 2-3 8-6 13-13 7-5 4-4 3-4 0-0 14-14 5-1			78
110:110	the general said that bilateral military cooperation is considered to be one of the means to grant advantages for both sides .	N/A	the general said that bilateral military cooperation was one way to bring advantages to both sides .	N/A	1	1	2-2 19-14 3-3 20-15 6-6 21-16 11-8 17-12 16-11 5-5 15-10 1-1 4-4 0-0 18-13 13-9 14-9 8-7 10-7 9-7 7-7			77
115:115	"in the presence of accredited diplomats in the united arab emirates , baker added , "" we were very shy and paralyzed . """	N/A	"baker admitted in the presence of the diplomats in the emirates "" we were shy and paralysed . """	N/A	1	1	8-10 22-17 19-14 20-15 9-10 2-4 5-7 0-2 1-3 10-10 15-11 17-13 5-6 12-0 23-18 16-12 3-5 6-8 21-16 7-9 13-1			85
116:116	sharon , for his part , extended his condolences to the russian president and said that is a tragedy for both countries .	N/A	sharon expressed his condolences to the russian side and said it is a tragedy for both countries .	N/A	1	1	22-17 19-14 20-15 8-3 13-8 10-5 11-6 14-9 21-16 7-2 17-12 16-11 0-0 18-13 9-4 6-1 12-7 15-10			83
128:128	moratenos has held talks with al-shaar ' , saturday evening .	N/A	muratinos held talks on saturday with al shara .	N/A	1	1	5-6 5-7 10-8 8-4 8-3 3-2 2-1 1-1 4-5 0-0			79
134:134	in the center of the yuhua stone is a very clear-cut image of the map of the people 's republic of china .	N/A	on the center of the stone is a very clear map of the people 's republic of china .	N/A	1	1	14-10 10-9 8-7 5-5 0-0 2-2 19-15 18-14 15-11 17-13 21-17 3-3 6-5 7-6 16-12 1-1 4-4 13-10 20-16 9-8 22-18			86
148:148	sinai gaza , october 2 / xinhua / the palestinian leadership declared this evening its condemnation and denunciation of the operation that was carried out in eli sinai settlement north of gaza strip .	N/A	sinai gaza october 2 / xinhua palestinian leadership denounced this evening the attack on the jewish settlement of eli sinai north of gaza strip .	N/A	1	1	30-21 19-11 9-6 11-8 14-8 31-22 0-0 17-8 26-18 3-2 8-6 5-4 12-9 33-24 7-4 6-5 10-7 4-3 1-1 13-10 29-20 27-19 32-23 28-16 15-8 20-12 16-8 25-13			80
149:149	he added that china hopes that there will be a return to peace as soon as possible .	N/A	he added that china hopes that peace can resume as soon as possible .	N/A	1	1	13-9 10-8 2-2 14-10 3-3 6-7 15-11 11-8 12-6 8-7 5-5 16-12 1-1 4-4 0-0 7-7 17-13 9-8			82
164:164	his recordings of the complete 23 sonatas of beethoven , were a great success in europe , granting him fame .	N/A	all of his 23 recordings of beethoven sonatas got success and fame in europe .	N/A	1	1	13-9 10-8 4-0 19-11 0-2 6-7 20-14 5-3 14-12 2-1 1-4 7-5 8-6 15-13 3-0 16-10			77
167:167	the vietnamese airline announced earlier this week that it was planning to double its aircrafts to reach 70 by 2010 .	N/A	vietnam airlines announced plans to double its fleet to 70 aircraft by 2010 earlier this week .	N/A	1	1	10-3 1-0 0-0 6-15 4-13 3-2 17-10 19-12 5-14 15-8 18-11 2-1 13-6 9-3 12-5 11-4 14-7 20-16 17-9 16-8			84
170:170	""" the majority of the iraqi population is also shiite . """	N/A	"that 's the majority of the population . """	N/A	1	1	3-4 6-6 1-2 11-8 2-3 10-7 4-5 7-1			77
186:186	it seems likely the hiring freeze in germany 's labor market will continue for months to come .	N/A	a freeze in the german labor market is likely to continue in coming months .	N/A	1	1	7-3 7-4 15-12 2-8 8-4 13-11 8-3 17-14 10-6 9-5 14-13 1-7 16-12 6-2 12-10 5-1 11-9 3-0			82
190:190	please listen to another report filed by voice of america reporter grant from jakarta .	N/A	please listen to another report by voa reporter grant from jakarta .	N/A	1	1	2-2 3-3 6-5 14-11 7-6 9-6 11-8 5-5 8-6 1-1 10-7 4-4 0-0 12-9 13-10			86
194:194	"a spokesman for the iranian foreign ministry , hamed reza asfa , rejected these statements made by saddam and described them as "" baseless and racist "" ."	N/A	"hamed reza asafi , spokesman for the iranian foreign ministry , said that saddam 's statements "" are baseless and racist . """	N/A	1	1	5-8 9-1 17-13 10-2 4-7 7-10 23-18 26-22 24-19 2-5 6-9 3-6 8-0 0-4 22-16 11-3 14-15 1-4 27-21 25-20 16-14 12-11 15-14 21-17			80
196:196	in the university of peking , lee lan cheng visited ji sian lin , a famous chinese linguist and translator .	N/A	in peking university , he visited ji xian lin , a famous chinese linguist and translator .	N/A	1	1	14-10 9-5 0-0 13-9 11-7 2-2 19-15 18-14 1-2 5-3 15-11 3-2 17-13 3-1 4-1 2-1 1-1 16-12 10-6 4-2 12-8 20-16 7-4 6-4 8-4			82
197:197	the sanaa gathering summit was founded two years ago and includes in its membership each of sudan and ethiopia in addition to yemen .	N/A	the sanaa gathering summit was formed two years ago and besides yemen its members include sudan and ethiopia .	N/A	1	1	12-12 6-6 5-5 19-10 0-0 21-10 2-2 16-15 17-16 9-9 3-3 23-18 13-13 18-17 1-1 4-4 7-7 20-10 8-8 10-14 22-11			84
199:199	from the astronomical point of view , this asteroid was very close to the earth because the moon is only 402,000 kilometers away from the earth .	N/A	the asteroid was very close to the earth in astronomic terms , because the moon is 402,000 kilometres off earth .	N/A	1	1	10-3 25-19 5-10 0-8 26-20 4-10 1-9 15-12 3-10 6-11 21-17 17-14 23-18 24-19 13-6 16-13 12-5 18-15 11-4 8-1 14-7 20-16 9-2 2-9 22-18 7-0			82
205:205	he added that there is another solution which is to wait for the next monthly meeting of foreign ministers of the european union states expected on february 24 .	N/A	he added that another solution involved waiting for the next monthly meeting of eu foreign ministers , to be held on 24 february .	N/A	1	1	14-10 20-13 0-0 28-23 13-9 24-17 11-7 2-2 24-18 5-3 15-11 6-4 17-14 26-22 24-19 16-12 1-1 10-6 18-15 21-13 12-8 22-13 27-21 25-20 7-5 8-5 9-5			78
209:209	the rosoboron exports company , the largest arms export company in russia , has a hold on 85 % of the total exports .	N/A	""" rozoboron exports "" , the largest russian export company , handled 85 % of the total exports ."	N/A	1	1	22-17 19-14 20-15 6-6 16-11 5-5 11-7 2-2 0-1 14-11 15-11 17-12 18-13 9-9 13-11 23-18 10-7 1-1 4-4 12-10 8-8 21-16			82
212:212	yongjiang gu expressed that , economic developments in the mainland provided five great opportunities for hong kong .	N/A	gu yongjiang said the development of mainland economy provided 5 opportunities for hong kong :	N/A	1	1	5-7 10-8 2-2 6-4 0-1 14-11 15-12 16-13 17-14 6-3 9-6 1-0 8-6 7-5 11-9 13-10			81
213:213	"cyprus can not remain neutral in the campaign against terrorism . """	N/A	"cyprus is neutral in the campaign against terrorism . """	N/A	1	1	10-8 6-4 5-3 4-2 8-6 9-7 7-5 0-0 11-9 3-1			84
214:214	an escaped prisoner of war said in april that as far as he knows , there are still 50-60 south korean soldiers currently jailed in north korea .	N/A	in april , one escapee said there were still 50-60 south korean soldiers being jailed in north korea .	N/A	1	1	2-4 15-6 5-5 19-10 7-1 17-8 25-16 6-0 20-11 27-18 18-9 16-7 21-12 22-13 26-17 23-14 0-3 1-4 24-15			78
221:221	it must be pointed out that hebron is a divided city , where around 400 israeli settlers and 120 thousand palestinians live .	N/A	hebron is a divided city , where 400 israeli settlers and 120 thousand palestinians live .	N/A	1	1	15-8 21-14 10-4 11-5 8-2 9-3 20-13 22-15 6-0 12-6 18-11 17-10 14-7 19-12 7-1 16-9			83
227:227	this is the first public response bush has made to the un security council meeting held today in new york .	N/A	this was bush 's first response to today 's un security council meeting in new york .	N/A	1	1	16-7 3-4 20-16 13-11 19-15 18-14 2-4 10-9 9-6 14-12 5-5 1-1 17-13 11-9 6-2 12-10 0-0 7-3 8-3			78
233:233	fattouh had assumed the presidency of the palestinian authority after the death of president yasser arafat in accordance with the texts of the palestinian basic law .	N/A	fatouh took over leadership of the palestinian authority after the death of president yasser arafat in accordance with palestinian law .	N/A	1	1	25-19 10-9 13-12 8-7 0-0 26-20 2-2 14-13 16-15 5-4 17-16 15-14 3-3 6-5 23-18 7-6 18-17 2-1 4-3 11-10 9-8 12-11 22-18			79
237:237	mosa 's visit , which lasts for two days , coincides with the visit of the sudanese minister of foreign affairs , mostafa osman ismayel , who arrived at tripoli on saturday .	N/A	mossa 's one-day visit coincides with the sudanese foreign minister 's visit , who arrived tripoli today , i.e. on saturday .	N/A	1	1	14-10 30-19 19-8 15-6 31-20 0-0 11-5 27-14 10-4 13-11 20-8 25-12 2-3 1-1 29-15 16-7 26-13 32-21 17-9 8-2 7-2 5-2 6-2 12-11			78
247:247	in addition , ten films will be shown focusing on the beautiful traditional artworks , skills and modern life in japan .	N/A	ten films focusing on traditional fine arts , skills and modern life in japan will be shown .	N/A	1	1	12-4 5-14 15-8 7-16 8-2 9-3 20-13 6-15 14-7 13-5 4-1 18-11 17-10 21-17 19-12 3-0 13-6 16-9			83
249:249	he told the reporter that most of these young thugs are coming from other places out of china town after they heard that riot has broken out here .	N/A	he told the reporter that most of the young men came to chinatown from other places after they heard news of the riots .	N/A	1	1	23-22 6-6 5-5 20-17 0-0 23-21 28-23 2-2 17-12 9-9 18-12 3-3 21-18 1-1 4-4 12-13 13-14 8-8 19-16 14-15 10-10 15-11 11-10 16-11 7-7			79
253:253	however , the inscription has been confirmed to have been carved to it later .	N/A	the inscription was confirmed to have been carved later .	N/A	1	1	7-4 13-8 2-0 6-3 8-5 14-9 4-2 9-6 10-7 5-2 3-1			81
256:256	the chinese government attaches a significant importance to the development of relationships with all latin-american nations , including argentina .	N/A	the chinese government attaches great importance to developing its ties with latin-american nations including argentina .	N/A	1	1	15-12 2-2 3-3 6-5 14-11 19-15 18-14 7-6 0-0 8-7 10-7 9-7 5-4 1-1 4-4 12-10 17-13 11-9			80
261:261	the valdez port , it should be noted , is one of the most important oil ports in the united states .	N/A	the valdez port is one of the biggest oil ports in the united states .	N/A	1	1	15-8 21-14 10-4 2-2 11-5 9-3 20-13 13-7 12-6 18-11 17-10 14-7 1-1 19-12 0-0 16-9			79
263:263	the privatization of livestock husbandry in mongolia was basically completed in the 90s of last century .	N/A	mongolia 's livestock industry was basically privatized in the 90s of last century .	N/A	1	1	7-4 16-13 15-12 14-11 6-0 8-5 11-8 3-2 2-6 10-7 4-3 0-6 12-9 1-6 13-10 5-1			78
268:268	local people there have been demanding the berber language to be recognized as an official language in the constitution of algeria .	N/A	local people called for berber language to be recognized as official language of algeria by the constitution .	N/A	1	1	14-10 20-13 9-6 11-8 0-0 5-3 15-11 18-16 21-17 19-12 12-9 7-4 6-4 10-7 5-2 1-1 16-14 17-15 8-5 13-10			81
273:273	these enterprises have made a stable and important contribution to the prosperity of macao .	N/A	they made important contribution to the prosperity and stability of macao .	N/A	1	1	14-11 8-3 10-5 6-7 11-6 7-2 2-1 3-1 5-8 12-9 9-4 13-10 0-0 1-0			83
281:281	"the future development will depend entirely on the attitude of the u.s. side . """	N/A	"the future development will depend entirely on the us attitude . """	N/A	1	1	10-8 2-2 3-3 14-11 6-6 11-8 4-4 5-5 8-9 1-1 12-8 0-0 7-7 13-10			89
282:282	iran and iraq had clashed in a bloody war from 1980 to 1988 , which led to the death of about one million people from both sides .	N/A	iran and iraq clashed in a bloody war from 1980 to 1988 in which one million people from both sides died .	N/A	1	1	25-18 10-9 8-7 0-0 24-17 2-2 14-13 5-4 9-8 21-14 3-3 6-5 7-6 4-3 1-1 26-19 23-16 22-15 11-10 27-21 12-11 16-20 17-20 15-20 18-20 19-20			87
295:295	this constitutional reform will strip most of the power currently held by the president .	N/A	the constitutional reform will dilute most of the president 's powers .	N/A	1	1	8-10 2-2 3-3 7-10 14-11 13-8 6-6 10-9 5-5 1-1 11-9 4-4 12-7 0-0			83
303:303	in the whole year , total foreign exchange earned on exports amounted to us $ 400 million . the import amount was us $ 250 million .	N/A	this year , export earns us $ 400 million in foreign exchange , while imports us $ 250 million .	N/A	1	1	10-3 25-18 19-14 1-0 24-17 8-4 18-14 17-12 3-1 6-10 15-7 14-6 13-5 26-19 9-4 16-8 23-16 22-15 7-11 4-2 0-0 2-0			78
310:310	while lin yixing , the bar owner , was cleaning items under the bar counter and preparing to end that day 's business ,	N/A	at the time , bar owner lin yixing was cleaning up and preparing to end business for the day .	N/A	1	1	8-8 6-5 23-19 5-4 18-14 19-17 22-15 15-11 2-7 21-16 20-18 16-12 17-13 1-6 0-1 9-10 0-2 4-4 0-0 9-9			81
322:322	this year , it is expected that the federal budget deficit will reach 423 billion dollars for the year .	N/A	it is expected this year that the federal budget deficit will reach $ 423 billion .	N/A	1	1	15-12 6-5 19-15 10-9 7-6 11-10 0-3 9-8 4-1 8-7 13-13 1-4 5-2 3-0 14-14 12-11			88
326:326	"he said : "" the israeli soldiers opened intense fire on houses in the camp and this forced the occupants of these houses to leave them . """	N/A	"he said that "" israeli soldiers opened heavy fire on houses in the camp , forcing their inhabitants to leave . """	N/A	1	1	22-17 19-17 10-9 13-12 8-7 20-17 0-0 26-20 14-13 5-4 21-17 9-8 3-3 6-5 23-18 24-19 7-6 1-1 4-4 17-15 11-10 27-21 12-11 2-2 15-14 18-16			77
335:335	"the us government claimed these people are enemy combatants instead of war prisoners and are therefore not entitled to the protection under "" geneva convention . """	N/A	the u.s. government called these people enemy combatants and not pows , thus they are not protected by the geneva convention .	N/A	1	1	8-7 5-5 0-0 2-2 25-21 16-15 18-16 21-17 17-16 3-3 24-20 7-6 1-1 4-4 12-10 23-19 11-10 20-16 14-14 10-8 15-12 19-16 13-11 23-18 10-9 9-8 9-9			77
350:350	the small town of wertheim is expected to experience the highest water level in 80 years .	N/A	the small town wertheim is expecting the highest water level in 80 years .	N/A	1	1	16-13 15-12 2-2 6-5 14-11 8-5 9-6 11-8 4-3 10-7 1-1 5-4 7-5 0-0 12-9 13-10 3-3			89
369:369	at present , palestine has over 60,000 security organization personnel , the vast majority of which come from the fatah camp .	N/A	palestine currently has 60,000 security personnel , the vast majority of which are from the fatah camp .	N/A	1	1	14-10 9-5 13-9 11-7 0-1 19-15 18-14 6-3 15-11 17-13 21-17 3-0 7-4 16-12 1-1 10-6 4-2 12-8 20-16 8-4			83
377:377	fatouh took over as interim palestinian authority president after president yasser arafat 's death , in accordance with the rules of the palestinian fundamental law .	N/A	fatouh took over leadership of the palestinian authority after the death of president yasser arafat in accordance with palestinian law .	N/A	1	1	7-3 5-6 12-11 2-2 8-8 10-13 9-12 24-19 6-7 17-17 15-15 1-1 16-16 0-0 25-20 11-14 22-18 13-10 5-5 21-18			83
379:379	the cost for each ton of seawater desalination treatment will be further reduced from the existing rmb 5 yuan .	N/A	the cost of seawater desalinization treatment has been further reduced from 5 yuan per ton .	N/A	1	1	7-4 18-12 4-14 5-2 3-13 19-15 6-3 8-5 17-11 11-8 1-1 0-0 12-9 13-10 9-6 10-7			78
